No Buku,Judul,Genre,Penulis
63,lubang rahasia ,Fiksi,"Fitri R, Ghozally "
64,Lorong Gelap Yang Kutinggalkan Jangan Tiru Kisah Hidupku Yang Kelam,"Fiksi, Drama",Timoteus Talip Dan Ina Santoso 
65,Cahaya Cinta Pesantren,Fiksi Religi,Ira madan
66,Ayat Ayat Cinta,Fiksi Religi,Habiburrahman El-Shirazy
67,Bumi Manusia,Fiksi Sejarah,Pramoedya Anantha Toer
68,50 rules to be wonderful teenager,Non Fiksi,Sienta sasika
69,Mariposa,Fiksi Romansa,Hidayatul Fajriyah
70,High School Paradise,Komedi,Orizuka
71,Seruling Diplomat,Fiksi,M. Busyuro Muqoddas
72,Rasa,Romansa,Tere Liye
73,heart of thunder,"Romansa Sejarah, Fiksi Sejarah, Sastra Erotik",Johanna Lindsey
74,sakit setengah jiwa,Novel,Endang Rukmana
75,Cantik Itu Luka,Fiksi,Eka Kurniawan
76,Kambing Jantan,"Komed, NonFiksi",Raditya Dika
77,stanley in space,Fiksi,Jeff brown
78,Majnun,   ,Anton Kurnia
79,The Beautiful Flaw,"Fiksi, Romantis",Aria
80,Jalan- Jalan  Penuh Keindahan,"Fiksi, Petualangan",Gede Pranama
81,172 Days,Romansa,Nadzira Shafa
82,Terpikat,Romansa,Ghefira Zakhira
83,Melangkah,Fantasi aksi,Js.Khairen
84,Candi Murca,Fiksi Sejarah,Langit Kresna Hariadi
85,The Midnight Library,Novel Fantasi,Matt Haig
86,Tex,Fantasi,S.E Hinton
87,Layangan Putus,Romansa,Mommy ASF
88,00.00,Fiksi,Ameylia Falensia
89,Sunset Bersama Rosie,"Romansa, drama sedih",Tere Liye
90,Gadis Minimarket,Fiksi,Sayaka murata
91,Lizzie zipmouth,Fiksi,Jacqueline Wilson
92,Puya Kepuya,Fiksi,Faisal Oddang
93,Winggit,Horor,Sara Wijayanto
94,Yang Bertahan Dan Binasa Perlahan,Fiksi,Okky Madasari
95,Merahnya Merah,Fiksi,Iwan Simatupang
96,Negeri 5  Menara,Fiksi,Ahmad Fuadi
97,Iyan Bukan Anak Tengah ,Fiksi,Armara herr
98,Hello Habits,Self-help book,Fumio Sasaki
99,Yes To Life,Self-help book,Viktor Frankl
100,Home Sweet Loan,Metopop,Almira Bastari
101,Pendidikan Pancasila Dan Kewarganegaraan,Pendidikan,Dwi Winarno
102,Aplikasi Program PHP + MySQL untuk Membuat WEBSITE INTERAKTIF,Pendidikan,Andi
103,Pemrograman Dasar,Pendidikan,Eko Subiyantoro
104,Tata Bahasa Indonesia,Pendidikan,Dr. Gorys Keraf
105,The Fall OF Advertising,Pendidikan,Al Ries & Laura Ries
106,Basis Data,Pendidikan,Daniel Yeri Kristiyanto
107,Sains Untuk Kesempurnaan Ibadah,Pendidikan,"Dimsiki Hadi, HM. Dan Muhammad Hariwijaya"
